 0.13752837122786 -0.266296981432596 0.954029278789335
 0.0503340575733505 -0.167936322083434 0.984511998084986
 -0.295884970117308 0.464446145165167 0.834710646092343
 0.0440655977105971+0.638763976430134i 1.29915825953293-0.0557953736277517i -0.0829816688733476-0.534328902718283i
 -0.127766414740682 0.186567937807406 0.974098633530816
 0.0901585690566083 -0.095048928121643 0.991381426943531
 0.0166897516892991 0.0214463941694817 0.999630683985679
 -0.0766395787162896 0.179697244930626 0.980732009846998
 0.0814598269735404+0.395398637283358i -0.17489005811263-0.25596133025237i 1.09069458423169-0.0705735570836464i
 -0.263059596238989-0.639646306165672i -0.0433453447919692+0.501091704655323i 1.26592331303761-0.115761440535749i
 0.442569743711557 -0.277585491001633 0.852688874758237
 -0.168700330182596-0.369872554437925i -0.104824453296517+0.371788456445353i 1.11176811696473-0.021070131453555i
 -0.9155364029015-1.07408723137799i -0.435263772689278+1.79244438340401i 2.08527036957349-0.0974357371239381i
 -0.0841497607730318 0.172281349617382 0.981446867810915
 0.0146501815089389+0.369633618607444i -0.465608287842827-0.554839075023074i 1.13214127641871-0.232968161172008i
 0.636898503429343 -0.739836115756812 0.216801333370752
 0.293189476767097 -0.579306636196097 0.760554897408596
 0.108712826408959 -0.336302309342916 0.935458325156603
 0.281861829896598+0.0842266950320027i -0.536445869422479-0.0655380248493015i 0.805921830850842-0.0730813967977488i
 0.00344742961568009+0.210012156081301i -0.135189217645092-0.240644039668439i 1.04151151580996-0.031930978270937i
 0.474349126744056 -0.0549908485507603 0.878617614513173
 0.174440973553366 -0.159942384089656 0.971590850367309
 -0.13634888956854-0.382970960044528i 0.0835476239707638+0.227124473581435i 1.08489049589022-0.065622637051484i
 -0.0543776613349727 -0.0419001243613667 0.997640942186236
 0.0108520102393071 0.012132054331611 0.999867514789565
